Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
114,Ayo Dosunmu,26,CHI,SG,25,7,25.9,5.1,10.0,.510,1.7,3.9,.443,3.4,6.1,.553,.596,2.1,2.5,.855,0.4,2.0,2.5,2.9,0.6,0.2,1.2,1.6,14.0,0.0,dosunay01
115,Obi Toppin,27,IND,PF,3,0,27.3,5.0,12.0,.417,1.0,5.7,.176,4.0,6.3,.632,.458,3.0,3.0,1.000,1.0,5.7,6.7,1.7,1.0,0.0,2.0,2.3,14.0,0.0,toppiob01
116,Tobias Harris,33,DET,PF,22,22,28.4,5.0,11.0,.450,1.4,4.2,.326,3.6,6.8,.527,.512,2.5,2.9,.844,1.1,3.7,4.8,2.6,0.6,0.3,1.0,2.1,13.7,0.0,harrito02
117,Naz Reid,26,MIN,C,32,0,26.8,5.2,11.5,.447,2.3,6.5,.361,2.8,5.0,.559,.549,1.0,1.3,.767,1.1,5.1,6.2,2.4,1.0,0.8,1.5,2.6,13.7,0.0,reidna01
118,Nic Claxton,26,BRK,C,29,29,30.2,5.3,9.2,.579,0.0,0.4,.091,5.3,8.8,.600,.581,2.9,4.2,.691,2.7,5.0,7.8,4.3,0.7,1.3,1.6,2.2,13.6,0.0,claxtni01
119,Donte DiVincenzo,29,MIN,SG,32,32,31.8,4.4,10.7,.414,3.0,8.0,.377,1.4,2.7,.523,.555,1.7,2.2,.761,1.0,3.4,4.4,4.0,1.3,0.5,1.3,2.5,13.6,0.0,divindo01
120,Zach Edey,23,MEM,C,11,11,25.8,5.6,8.9,.633,0.1,0.5,.200,5.5,8.5,.656,.638,2.3,2.9,.781,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,13.6,0.0,edeyza01
121,Sam Merrill,29,CLE,SG,16,11,26.1,4.5,9.6,.468,3.4,7.9,.433,1.1,1.7,.630,.646,1.1,1.3,.857,0.8,1.8,2.5,2.7,0.7,0.2,0.8,2.7,13.6,0.0,merrisa01
122,Cedric Coward,22,MEM,SG,31,18,26.9,4.8,10.4,.466,1.5,4.5,.324,3.4,5.9,.574,.536,2.4,2.8,.830,1.5,4.7,6.2,2.9,0.5,0.3,1.5,2.0,13.5,0.0,cowarce01
123,Collin Gillespie,26,PHO,PG,31,12,28.3,4.7,10.9,.436,2.9,6.8,.425,1.8,4.0,.456,.570,1.1,1.3,.875,1.0,3.0,4.0,5.1,1.4,0.3,1.9,1.5,13.5,0.0,gilleco01
